time [s],x-distance [m],y-distance [m],Øx-velocity [m/s],Øy-velocity [m/s]
"0,0000","0,1108","0,1629","",""
"0,0160","0,1074","0,1655","-0,2169","0,1621"
"0,0330","0,1069","0,1679","-0,0289","0,1402"
"0,0500","0,1068","0,1693","-0,0062","0,0825"
"0,0660","0,1050","0,1694","-0,1073","0,0066"
"0,0830","0,1021","0,1744","-0,1752","0,2969"
"0,1000","0,0936","0,1791","-0,4989","0,2742"
"0,1160","0,0755","0,1921","-1,1281","0,8170"
"0,1330","0,0498","0,2011","-1,5112","0,5298"
"0,1500","0,0126","0,2089","-2,1915","0,4536"
"0,1660","-0,0275","0,2091","-2,5081","0,0175"
"0,1830","-0,0611","0,2005","-1,9709","-0,5092"
"0,2000","-0,0811","0,1927","-1,1813","-0,4556"
"0,2160","-0,0913","0,1875","-0,6331","-0,3242"
"0,2330","-0,0896","0,1880","0,0969","0,0289"
"0,2500","-0,0763","0,1944","0,7855","0,3752"
"0,2660","-0,0532","0,2044","1,4413","0,6221"
"0,2830","-0,0183","0,2090","2,0513","0,2701"
"0,3000","0,0203","0,2103","2,2740","0,0783"
"0,3160","0,0510","0,2029","1,9189","-0,4600"
"0,3330","0,0714","0,1947","1,1999","-0,4845"
"0,3500","0,0826","0,1892","0,6597","-0,3257"
"0,3660","0,0769","0,1915","-0,3570","0,1490"
"0,3830","0,0612","0,2003","-0,9236","0,5133"
"0,4000","0,0361","0,2072","-1,4782","0,4082"
"0,4160","0,0021","0,2122","-2,1270","0,3110"
"0,4330","-0,0325","0,2097","-2,0307","-0,1464"
"0,4500","-0,0609","0,2010","-1,6741","-0,5113"
"0,4660","-0,0802","0,1933","-1,2070","-0,4841"
"0,4830","-0,0831","0,1912","-0,1691","-0,1196"
"0,5000","-0,0771","0,1938","0,3525","0,1526"
"0,5160","-0,0640","0,2007","0,8171","0,4293"
"0,5330","-0,0388","0,2072","1,4823","0,3835"
"0,5500","-0,0031","0,2095","2,1049","0,1319"
"0,5660","0,0292","0,2086","2,0131","-0,0504"
"0,5830","0,0523","0,2044","1,3607","-0,2515"
"0,6000","0,0682","0,1981","0,9360","-0,3670"
"0,6160","0,0754","0,1933","0,4512","-0,3023"
"0,6330","0,0682","0,1962","-0,4247","0,1691"
"0,6500","0,0495","0,2026","-1,0989","0,3773"
"0,6660","0,0217","0,2082","-1,7414","0,3505"
"0,6830","-0,0086","0,2133","-1,7813","0,2989"
"0,7000","-0,0380","0,2079","-1,7256","-0,3134"
"0,7160","-0,0619","0,2016","-1,4939","-0,3965"
"0,7330","-0,0756","0,1971","-0,8082","-0,2639"
"0,7500","-0,0752","0,1959","0,0247","-0,0722"
"0,7660","-0,0686","0,2000","0,4118","0,2563"
"0,7830","-0,0528","0,2037","0,9298","0,2206"
"0,8000","-0,0288","0,2100","1,4081","0,3690"
"0,8160","0,0060","0,2114","2,1752","0,0854"
"0,8330","0,0327","0,2071","1,5730","-0,2515"
"0,8500","0,0532","0,2022","1,2061","-0,2866"
"0,8660","0,0633","0,1988","0,6309","-0,2169"
"0,8830","0,0660","0,1970","0,1567","-0,1051"
"0,9000","0,0568","0,1991","-0,5381","0,1258"
"0,9160","0,0380","0,2088","-1,1763","0,6068"
"0,9330","0,0116","0,2111","-1,5524","0,1319"
"0,9500","-0,0175","0,2118","-1,7132","0,0454"
"0,9660","-0,0428","0,2067","-1,5772","-0,3220"
"0,9830","-0,0614","0,2007","-1,0989","-0,3546"
"1,0000","-0,0720","0,1972","-0,6226","-0,2020"
"1,0160","-0,0705","0,1981","0,0964","0,0526"
"1,0330","-0,0606","0,2016","0,5814","0,2103"
"1,0500","-0,0440","0,2078","0,9772","0,3649"
"1,0660","-0,0200","0,2104","1,5005","0,1621"
"1,0830","0,0114","0,2103","1,8472","-0,0062"
"1,1000","0,0361","0,2092","1,4535","-0,0680"
"1,1160","0,0531","0,2033","1,0624","-0,3702"
"1,1330","0,0609","0,2016","0,4577","-0,0969"
"1,1500","0,0598","0,2004","-0,0680","-0,0680"
"1,1660","0,0490","0,2040","-0,6703","0,2212"
"1,1830","0,0292","0,2085","-1,1648","0,2680"
"1,2000","0,0028","0,2114","-1,5524","0,1670"
